Puesto,Empresa,Puntuación empresa,Ubicación,Estado postulación,Fecha,Candidatos,URL aviso
Operario  para control de calidad,,,,Proceso finalizado,Más de 30 días,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operario-para-control-de-calidad-en-la-plata-70D43DE9669D6A4361373E686DCF3405
Operario de Playa y Servicompras (req187716) Eventual,,,,Proceso finalizado,Más de 30 días,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operario-de-playa-y-servicompras-req187716-eventual-en-la-plata-40B84D254A4C9D3D61373E686DCF3405
Operario de deposito,,,,CV Visto,Más de 30 días,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operario-de-deposito-en-la-plata-080F17786F8C87F561373E686DCF3405
Armadores de Pedidos/Operarios de Picking,,,,Postulado,Más de 30 días,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-armadores-de-pedidosoperarios-de-picking-la-plata-en-la-plata-2D458422EB47223F61373E686DCF3405
Personal Carga y Descarga,Grupo Gestión,"4,1","La Plata, Buenos Aires",Postulado,Más de 30 días,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-personal-carga-y-descarga-la-plata-en-la-plata-94117574E536332B61373E686DCF3405
Personal de limpieza,,,,Postulado,Más de 30 días,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-personal-de-limpieza-zona-la-plata-en-la-plata-B9AA2F1CA973758B61373E686DCF3405
Operario Calificado (La Plata),,,,No seleccionado,Más de 30 días,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operario-calificado-la-plata-la-plata-en-la-plata-DA1039F33F5334CA61373E686DCF3405
Administrativo,,,,Postulado,Más de 30 días,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-administrativo-de-obra-en-boca-C8E5EF344504EF1061373E686DCF3405
Administrativa De Ventas,,,,Postulado,Más de 30 días,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-administrativa-de-ventas-con-experiencias-comprobable-en-empresas-del-rubro-en-la-plata-52E860A2FDBAF5B361373E686DCF3405
Administrativo/a de Compras y Logística,,,,Postulado,Más de 30 días,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-administrativoa-de-compras-y-logistica-en-la-plata-3E2666ADA20DD07061373E686DCF3405
