Puesto,Empresa,Ubicacion,Fecha de postulacion,Plataforma,Estado
Data Entry Specialist,1840 & Company,"La Plata, Buenos Aires",viernes (último),Indeed,Postulación enviada
Administrativa/o - Oficina Central - La Plata,Medihome,"La Plata, Buenos Aires",viernes (último),Indeed,Postulación enviada
Service Desk Analyst,Grow UP HR,"Buenos Aires, Buenos Aires",viernes (último),Indeed,Postulación enviada
Analista de Monitoreo Jr - (9 a 18 hs - esquema híbrido) - CABA,CTL Information Technology,"Buenos Aires, Buenos Aires",viernes (último),Indeed,Postulación enviada
Soporte técnico/administrativo,Global Zeg,"Capital Federal, Buenos Aires",viernes (último),Indeed,Postulación enviada
Asesor de Soporte Técnico IT,Universidad de Palermo,"Capital Federal, Buenos Aires",viernes (último),Indeed,Postulación enviada
Owner DD - Nivel 1,Farmacity,"Chacarita, Buenos Aires",25 de mayo,Indeed,Postulación enviada
Operador de Mesa de Ayuda,Zoologic,"Buenos Aires, Buenos Aires",21 de mayo,Indeed,Postulación enviada
Deskside Support Analyst - Full-time | 100% On-site in Buenos Aires (CABA) | Advanced English (C1),CTL Information Technology,"Capital Federal, Buenos Aires",18 de mayo,Indeed,Postulación enviada
IT Support Technician I - Buenos Aires,Interlaced,"Buenos Aires, Buenos Aires",18 de mayo,Indeed,Postulación enviada
Operador/a de equipos de carga y descarga,BAUKRAFT S.R.L.,"La Plata, Buenos Aires",5 de mayo,Indeed,Postulación enviada
Claude AI & Automation Specialist,Koin Limited,Argentina,5 de mayo,Indeed,Postulación enviada
Content Moderator | Relocation to Sofia Bulgaria - Spanish and English (m/f/d),TELUS Digital,Belgium,5 de mayo,Indeed,El empleo se cerró o caducó en Indeed
Backoffice Specialist | Relocation to Sofia Bulgaria - Spanish and English (m/f/d),TELUS Digital,Belgium,4 de mayo,Indeed,El empleo se cerró o caducó en Indeed
Personal administrativo / Ventas,sassocurt,"La Plata, Buenos Aires",4 de mayo,Indeed,Postulación enviada
Vibe Coder,Darwin AI,"Buenos Aires, Buenos Aires",4 de mayo,Indeed,Postulación enviada
Asistente Administrativo/a,FYG | For Your Growth,"Buenos Aires, Buenos Aires",18 de marzo,Glassdoor,Postulación enviada
Patient Intake Specialist (Remote),WellTel Virtual Care,"Buenos Aires, Buenos Aires",18 de marzo,Glassdoor,El empleo se cerró o caducó en Indeed
Junior Content Entry Analyst,Monks,"Buenos Aires, Buenos Aires",10 de marzo,Glassdoor,Postulación enviada
Order Processing & Verification Specialist (Remote),True Team,Desde casa,10 de marzo,Glassdoor,El empleo se cerró o caducó en Indeed
Operador Contact Center,Verisure Argentina Monitoreo de Alarmas S.A.C,"Buenos Aires, Buenos Aires",9 de marzo,Glassdoor,Postulación enviada
Pickers CABA,PedidosYa,"Buenos Aires, Buenos Aires",9 de marzo,Indeed,El empleo se cerró o caducó en Indeed
Intern or Trainee - Industrial Engineering Student,Darwin AI,"Buenos Aires, Buenos Aires",9 de marzo,Glassdoor,Postulación enviada
Bilingual Data Entry Specialist,Solvo Global SAS,Desde casa,9 de marzo,Glassdoor,El empleo se cerró o caducó en Indeed
Appointment Setter - Remoto,Solvo Global SAS,"Buenos Aires, Buenos Aires",9 de marzo,Glassdoor,El empleo se cerró o caducó en Indeed
Customer Service Coordinator,Doorstead,Desde casa,9 de marzo,Glassdoor,El empleo se cerró o caducó en Indeed
Operador de Depósito,Verisure Argentina Monitoreo de Alarmas S.A.C,"Buenos Aires, Buenos Aires",9 de marzo,Glassdoor,Postulación enviada
Technical Support Technician,Agentic Dream,Remote,9 de marzo,Glassdoor,El empleo se cerró o caducó en Indeed
Help Desk Technician,AccelOne,Desde casa,8 de marzo,Indeed,El empleo se cerró o caducó en Indeed
Cadete Administrativo,Servicio de Empleo AMIA,"Tribunales, Buenos Aires",6 de marzo,Indeed,Postulación enviada
Desarrollador de Automatizaciones IA,Confidencial,"La Plata, Buenos Aires",6 de marzo,Indeed,El empleo se cerró o caducó en Indeed
Agente de Customer Support,Fudo,"Buenos Aires, Buenos Aires",4 de marzo,Indeed,El empleo se cerró o caducó en Indeed
HelpDesk Support,Cencosud,"Martinez, Buenos Aires",3 de marzo,Indeed,El empleo se cerró o caducó en Indeed
URGENT HIRING!! Technical Support Representative (Deep Technical / IT Specialist),Focus Virtual Assistants,Remote,3 de marzo,Indeed,El empleo se cerró o caducó en Indeed
Operador NOC,RP Consultoría,"Parque Patricios, Buenos Aires",3 de marzo,Indeed,Postulación enviada
Operario/a de limpieza CABA - Media Jornada,LONCON SA,"Capital Federal, Buenos Aires",3 de marzo,Indeed,El empleo se cerró o caducó en Indeed
Auxiliar Administrativo,Desconocido,"Buenos Aires, Buenos Aires",3 de marzo,Indeed,Postulación enviada
Repositor/a Merchandising Eventual,Coca-Cola FEMSA,"Buenos Aires, Buenos Aires",3 de marzo,Indeed,El empleo se cerró o caducó en Indeed
Asistente de Asuntos estudiantiles - Facultad de Negocios,Universidad de Palermo,"Capital Federal, Buenos Aires",3 de marzo,Indeed,El empleo se cerró o caducó en Indeed
Picker,PedidosYa,"Buenos Aires, Buenos Aires",3 de marzo,Indeed,El empleo se cerró o caducó en Indeed
Proofreader/Copy Editor (Remote - Contract),INFUSE,"La Plata, Buenos Aires",2 de marzo,Indeed,Postulación enviada
Facility Manager,All Working,"Parque Patricios, Buenos Aires",2 de marzo,Indeed,El empleo se cerró o caducó en Indeed
Personal de mantenimiento,sassocurt,"Manuel B. Gonnet, Buenos Aires",2 de marzo,Indeed,El empleo se cerró o caducó en Indeed
